ID,Start time,Completion time,Email,Name,What is your district of residence?,What is your age?,What's your gender?,What is your current industry experience Level? ,What is your Working Culture?,Select your working district,What is your Role in your company?,Does your Company have a Sri Lankan office?,Is your company salary pegged?,Do you have any working experience in Global Software Development?,Are the Consequences of COVID-19 affect your Productivity in global Software Development?,What are the Productivity affecting issues you faced during the COVID-19 time?,How did you maintain your Productivity at a good level during the COVID-19 time?,Is Health-related problems affect your Productivity in Global Software Development?,What are the health issues you face regularly?,Are the Consequences of Sri Lanka’s economic crisis affect your Productivity in Global Software Development?,What are the Productivity affecting issues you are facing during this Sri Lanka’s economic crisis Period?,How do you maintain your Productivity during this Sri Lanka’s economic crisis time?,Is your lack of Individual Soft skills affect your Productivity in global Software Development?,What are the soft skills you think that can support and increase your Productivity?,Is your low Paying Structure affect your Productivity in global Software Development?,Are your slowest Equipment or Tools (Gadgets) increase your Productivity in global Software Development?,Are the Tools (equipment or gadgets) provided by your Company?,Rate your computer speed.,Is your slow Network Quality affect your Productivity in global Software Development?,What type of network provider are you using for your work?,Rate the Internet speed.,"Is your distractive Workplace Ergonomics affect your Productivity in global Software Development?
(If you are working from your home please consider your home is your workplace)
",Are poor Training & Career Development Opportunities affect your Productivity in global Software Development?,Is your Work Pressure affect your Productivity in global Software Development?,Does Distraction at the workplace affect your Productivity in global Software Development?,What kind of Distractions Do you have in your workplace?,Is lack of Technical Skills in New Technologies affect your Productivity in global Software Development?,How do you maintain your productivity without familiarity in new technologies?,Language issues,Lack of Management of time Difference,Please Mention any other factors except the above (If you have any)?,Are the Consequences of COVID-19 affect your Productivity in Software Development Process?,What are the Productivity affecting issues you faced during the COVID-19 time?2,How did you maintain your Productivity at a good level during the COVID-19 time?2,Is Health-related problems affect your Productivity in Software Development Process?,What are the health issues you face regularly?2,Are the Consequences of Sri Lanka’s economic crisis affect your Productivity in Software Development Process?,What are the Productivity affecting issues you are facing during this Sri Lanka’s economic crisis Period?2,How do you maintain your Productivity during this Sri Lanka’s economic crisis time?2,Is your lack of Individual Soft skills affect your Productivity in software Development process?,What are the soft skills you think that can support and increase your Productivity?2,Is your low Paying Structure affect your Productivity in Software Development Process?,Are your slowest Equipment or Tools (Gadgets) increase your Productivity in Software Development Process?,Are the Tools (equipment or gadgets) provided by your Company?2,Rate your computer speed.2,Is your low Network Quality affect your Productivity in Software Development process?,What type of network provider are you using for your work?2,Rate the Internet speed.2,"Is your distractive Workplace Ergonomics affect your Productivity in Software Development process? 
(If you are working from your home please consider your home is your workplace)",Are your poor Training & Career Development Opportunities affect your Productivity in Software Development Process?,Is your Work Pressure affect your Productivity in Software Development Process?,Does Distraction at the workplace affect your Productivity in Software Development process?,What kind of Distraction Do you have in your workplace?,Is lack of Technical Skills in New Technologies affect your Productivity in Software Development process?,How do you maintain your productivity without familiarity in new technologies?2,Please Mention any other factors except the above (If you have any)?2,Monthly Salary,Technology Platform,Temperature at the workplace,Air Quality at the workplace,Lighting at the workplace,Hydration Level at the Workplace,Working Space Layout and Design,Flexibility level at workplace,Duration of the software project,Network Quality at workplace,Lack of Control,Lack of culture understanding in teams,Lack of trust,Geographical Distance,Job Security,Lack of Knowledge management and transfer among teams,Relationship with Colleagues and Senior employees,Outing with staffs,Leisure-time activities,Arrange some Free Certifacate Courses,Knowledge Sharing Sessions,Rate your own individual productivity level (from your own perspective).,What is your average line of code per day?,How many average story points do you burn in one day?,How often does your code fail in the testing phase?,How often do you take extra time to complete your tasks?
32,10/26/2022 18:12,10/26/2022 18:17,anonymous,,Colombo,24,Male,Internship,Hybrid,Colombo,CEO ,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Business ,,No,,Yes,Business ,,Yes,Communication Skills;Interpersonal Skills;Teamwork Skills;Leadership Skills;,Yes,Yes,Yes,5,Yes,Company WIFI,5,Yes,No,Yes,Yes,None ,No,Bad,None,Bad,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,,,,Neutral,,Neutral,Neutral,Neutral,Neutral,Neutral,Very Bad,0-25 lines,1 point,Always,Always
33,10/26/2022 18:32,10/26/2022 18:40,anonymous,,Kalutara,38,Female,More than 6 years,Hybrid,Colombo,Software Developer,Yes,Yes,Yes,No,,Finding effective communication channels methods and tools.,No,,No,,Maintaining proper communication between the parties,Yes,Communication Skills;,No,Yes,Yes,4,Yes,Dialog,3,Yes,Yes,Yes,No,,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Yes,Yes,Yes,Yes,Very Good,Yes,Very Good,Very Good,Very Good,Good,Good,Good,51-100 lines,3 points,Sometimes,Rarely
34,10/26/2022 18:53,10/26/2022 18:59,anonymous,,Matale,25,Male,Internship,Hybrid,Matale,Software Engineer,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,We arrange the online meetings to do our works,No,,Yes,Dollar rate increased so some product prices for development processes also increased,,Yes,Communication Skills;Problem-Solving Skills;Creativity Skills;Time Management Skills;,No,Yes,No,4,Yes,Dialog,4,Yes,Yes,Yes,No,,Yes,,,Very Bad,Neutral,Good,Good,Good,Good,Good,Good,Good,Good,,,,,Good,,Neutral,Bad,Neutral,Very Bad,Very Bad,Very Bad,0-25 lines,1 point,Always,Always
35,10/26/2022 20:03,10/26/2022 20:15,anonymous,,Kegalle,27,Female,2 to 4 years,Hybrid,Colombo,Software Engineer,Yes,Yes,Yes,No,,Made a good working environment ,No,,Yes,Power cuts,,Yes,Communication Skills;Interpersonal Skills;Teamwork Skills;Leadership Skills;Work Ethic;Time Management Skills;Problem-Solving Skills;,Yes,Yes,Yes,5,Yes,SLTMobitel,4,Yes,Yes,Yes,No,,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,Good,Good,Good,Neutral,Good,Good,Good,Good,Neutral,No,Yes,No,No,Good,Yes,Very Good,Very Good,Very Good,Good,Good,Good,26-50 lines,2 points,Rarely,Often
36,10/26/2022 21:27,10/26/2022 21:32,anonymous,,Jaffna,25,Male,Less than 2 years,Work from Office,Jaffna,Software Engineer,No,Yes,Yes,No,,N,Yes,Over weight ,Yes,Economy high,,Yes,Teamwork Skills;,No,No,Yes,3,Yes,Dialog,3,No,Yes,Yes,No,,Yes,,Yes,No,N,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Neutral,Neutral,Bad,Neutral,Neutral,Neutral,Bad,Neutral,Neutral,Yes,No,No,Yes,Neutral,No,Neutral,Neutral,Bad,Neutral,Neutral,Bad,0-25 lines,1 point,Often,Often
37,10/26/2022 21:27,10/26/2022 21:35,anonymous,,Moneragala,28,Male,2 to 4 years,Work from Home,,Cloud Engineer,Yes,Yes,Yes,No,,Worked well for 9 h hours per day.,No,,Yes,"Stress given by the government 
Powercuts",,Yes,Communication Skills;Interpersonal Skills;Teamwork Skills;Work Ethic;Time Management Skills;,Yes,Yes,Yes,5,Yes,SLTMobitel,4,Yes,Yes,Yes,Yes,Powercut ,Yes,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Very Good,Very Good,Bad,Neutral,Neutral,Neutral,Neutral,Good,Good,Good,No,No,No,No,Good,No,Very Good,Very Good,Very Good,Good,Very Good,Good,51-100 lines,2 points,Sometimes,Sometimes
38,10/27/2022 2:04,10/27/2022 2:11,anonymous,,Gampaha,38,Male,More than 6 years,Hybrid,Colombo,Project Manager,Yes,Yes,Yes,No,,Remote work,No,,No,,Pegg,Yes,Communication Skills;Interpersonal Skills;Teamwork Skills;Leadership Skills;Critical Thinking Skills;Work Ethic;Adaptability Skills;Problem-Solving Skills;Creativity Skills;Time Management Skills;,Yes,Yes,Yes,4,Yes,SLTMobitel,4,Yes,Yes,Yes,Yes,None,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Good,Good,Good,Good,Good,Good,Good,Good,Good,Yes,Yes,Yes,Yes,Good,Yes,Good,Good,Good,Good,Good,Good,101-200 lines,above 5 points,Rarely,Sometimes
39,10/27/2022 10:30,10/27/2022 11:05,anonymous,,Nuwara Eliya,24,Female,Internship,Work from Office,Colombo,Software Engineer,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Social isolation lacks my productivity since I have worked on site before Covid-19 pandemic. ,,Yes,"Fatigue
Eye problems
Depression",Yes,Had to spend most of my time for fulfilling my personal and family's basic needs. ,,Yes,Communication Skills;Interpersonal Skills;Teamwork Skills;Critical Thinking Skills;Adaptability Skills;Problem-Solving Skills;Creativity Skills;Time Management Skills;,No,Yes,Yes,3,Yes,Company WIFI,3,Yes,Yes,Yes,Yes,Network interruptions,Yes,,,Neutral,Good,Good,Good,Neutral,Neutral,Neutral,Neutral,Bad,Neutral,,,,,Good,,Good,Neutral,Neutral,Bad,Bad,Bad,26-50 lines,1 point,Often,Always
40,10/27/2022 18:18,10/27/2022 20:03,anonymous,,Kurunegala,25,Male,Less than 2 years,Work from Home,,Software Engineer,Yes,Yes,Yes,No,,I had good working environment in the home so In WHF does not have any negative reason for my productivity,No,,Yes,Power cuts,,Yes,Communication Skills;Teamwork Skills;Time Management Skills;Adaptability Skills;Problem-Solving Skills;,Yes,Yes,No,4,Yes,Dialog,3,Yes,Yes,Yes,No,,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Good,Bad,No,No,No,No,Good,No,Very Good,Good,Neutral,Very Good,Very Good,Good,51-100 lines,3 points,Rarely,Rarely
41,10/27/2022 22:55,10/27/2022 23:02,anonymous,,Colombo,26,Male,4 to 6 years,Hybrid,Colombo,Software Developer,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Health issues due to work from home.. and lack of interest on works.. hard to manage time when working in home.. travel restriction.,,Yes,Shoulder pain.,Yes,.,,Yes,Communication Skills;Problem-Solving Skills;,Yes,Yes,Yes,4,Yes,Dialog,4,Yes,Yes,Yes,Yes,.,Yes,,,Good,Good,Good,Good,Good,Good,Good,Good,Neutral,Good,,,,,Good,,Good,Neutral,Neutral,Bad,Bad,Bad,26-50 lines,1 point,Often,Always
42,10/28/2022 8:23,10/28/2022 8:29,anonymous,,Colombo,24,Male,2 to 4 years,Work from Office,Colombo,Software Developer,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,, ,No,,No,, ,Yes,Teamwork Skills;Leadership Skills;Work Ethic;Critical Thinking Skills;Creativity Skills;Time Management Skills;Communication Skills;,No,Yes,Yes,5,Yes,Dialog,5,Yes,No,Yes,No,,Yes,, ,Neutral,Good,Good,Good,Neutral,Neutral,Very Good,Very Good,Very Good,Very Good,,,,,Very Good,,Very Good,Neutral,Good,Neutral,Neutral,Neutral,51-100 lines,3 points,Rarely,Sometimes
43,10/28/2022 8:59,10/28/2022 9:06,anonymous,,Batticaloa,25,Female,Internship,Work from Home,,System operator,Yes,Yes,Yes,Yes,"No office work
All are new to work from home",,No,,No,,Work from home with cloud computin,No,,Yes,Yes,Yes,4,Yes,Dialog,4,No,Yes,Yes,Yes,"Noise
All time food
Television ",Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Bad,Good,Good,Good,Very Good,Good,Good,Good,Very Good,Bad,No,No,No,Yes,Neutral,Yes,Very Bad,Very Bad,Very Bad,Very Bad,Very Bad,Very Bad,0-25 lines,1 point,Always,Always
44,10/28/2022 9:07,10/28/2022 9:14,anonymous,,Batticaloa,26,Female,Less than 2 years,Hybrid,Colombo,Computer Support Engineer,Yes,Yes,Yes,No,,Work from home,No,,No,,Do extra work tym,No,,No,Yes,Yes,4,No,Company WIFI,4,No,Yes,No,No,,No,Learn by myself,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,Neutral,Good,Good,Good,Good,Neutral,Neutral,Very Good,Neutral,No,Yes,No,No,Good,Yes,Neutral,Very Bad,Good,Neutral,Good,Neutral,51-100 lines,2 points,Often,Rarely
45,10/28/2022 13:17,10/28/2022 13:39,anonymous,,Batticaloa,25,Female,Internship,Hybrid,Colombo,Software Engineer,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,lack of face-to-face discussion and informal meetings to got the idea of product. ,,No,,Yes,Time consuming for less amounts of cost.,,Yes,Communication Skills;Teamwork Skills;Problem-Solving Skills;Adaptability Skills;Leadership Skills;Creativity Skills;Time Management Skills;,Yes,Yes,No,4,Yes,Dialog,4,Yes,Yes,Yes,No,,Yes,,,Bad,Good,Neutral,Good,Very Good,Good,Good,Good,Good,Good,,,,,Good,,Good,Good,Very Good,Bad,Very Good,Bad,26-50 lines,2 points,Always,Often
46,10/28/2022 15:57,10/28/2022 16:02,anonymous,,Colombo,24,Male,2 to 4 years,Hybrid,Colombo,Software Engineer,Yes,Yes,Yes,Yes,Bookings count dow,,No,,No,,Foreign based ,Yes,Teamwork Skills;Critical Thinking Skills;Problem-Solving Skills;Time Management Skills;,Yes,Yes,Yes,5,Yes,SLTMobitel,4,Yes,Yes,Yes,No,,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,Good,Neutral,Neutral,Neutral,Neutral,Neutral,Good,Good,Good,Yes,Yes,Yes,Yes,Good,Yes,Very Good,Good,Good,Neutral,Good,Neutral,51-100 lines,2 points,Sometimes,Rarely
47,10/28/2022 16:07,10/28/2022 16:21,anonymous,,Jaffna,28,Male,Less than 2 years,Work from Home,,Software Engineer,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,work from home,No,,Yes,travelling,,Yes,Communication Skills;Teamwork Skills;Leadership Skills;Creativity Skills;Time Management Skills;Problem-Solving Skills;,No,Yes,Yes,5,Yes,Dialog,3,No,No,Yes,No,,Yes,,,Good,Good,Very Good,Very Good,Very Good,Very Good,Good,Very Good,Very Good,Neutral,,,,,Very Good,,Very Good,Very Good,Very Good,Neutral,Very Good,Neutral,51-100 lines,2 points,Often,Rarely
48,10/28/2022 16:34,10/28/2022 16:41,anonymous,,Gampaha,26,Male,2 to 4 years,Hybrid,Colombo,Software Engineer,Yes,Yes,Yes,No,,WHF improved my productivity,Yes,fever and cold,Yes,"equipment are really high, laptops, mobile devices etc..",,Yes,Communication Skills;Interpersonal Skills;Teamwork Skills;Leadership Skills;Critical Thinking Skills;Work Ethic;Adaptability Skills;Problem-Solving Skills;Time Management Skills;Creativity Skills;,Yes,Yes,Yes,5,Yes,SLT Fiber + company wingle(during power cuts) ,5,Yes,Yes,Yes,Yes,when working in office lots of people and noise are there. ,Yes,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Very Good,Good,Good,Good,Good,Good,Good,Very Good,Very Good,Neutral,Yes,No,No,Yes,Good,Yes,Neutral,Good,Good,Neutral,Neutral,Neutral,51-100 lines,3 points,Rarely,Often
49,10/28/2022 18:04,10/28/2022 18:17,anonymous,,Colombo,27,Male,Less than 2 years,Hybrid,Colombo,Cloud Engineer,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Take sometime to refresh my self. Either cycling or go for run,No,,No,,This is a common problem that we all having and think productive is nothing to do with it.,No,,No,Yes,Yes,3,Yes,Dialog,3,Yes,Yes,Yes,Yes,Cross talks.,No,You can always start from zero. Important thing is that u have learning mindset.,,Neutral,Neutral,Good,Good,Neutral,Good,Good,Very Good,Good,Neutral,,,,,Good,,Very Good,Neutral,Good,Very Good,Good,Neutral,101-200 lines,above 5 points,Sometimes,Rarely
50,10/28/2022 18:18,10/28/2022 18:23,anonymous,,Gampaha,25,Female,Less than 2 years,Hybrid,Colombo,UI/UX Designer,Yes,Yes,Yes,Yes,Team collaboration,,No,,Yes,"Transporting
Internet acces
Current availability",,Yes,Problem-Solving Skills;Communication Skills;Interpersonal Skills;,Yes,Yes,Yes,4,Yes,Dialog,4,Yes,Yes,Yes,No,,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Good,Good,Good,Good,Good,Neutral,Good,Good,Good,Yes,No,Yes,Yes,Good,Yes,Good,Neutral,Neutral,Neutral,Neutral,Neutral,51-100 lines,3 points,Rarely,Sometimes
51,10/28/2022 23:01,10/28/2022 23:10,anonymous,,Ampara,27,Male,Less than 2 years,Hybrid,Colombo,Quality Assurance,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Online work culture ,No,,Yes,Increase price for data packs and devices,,Yes,Communication Skills;Interpersonal Skills;Teamwork Skills;Leadership Skills;Adaptability Skills;,No,Yes,No,4,Yes,Dialog,3,Yes,Yes,Yes,Yes,Background sound ,Yes,,,Good,Good,Neutral,Neutral,Good,Good,Good,Good,Good,Good,,,,,Good,,Good,Neutral,Neutral,Very Bad,Neutral,Neutral,101-200 lines,above 5 points,Often,Sometimes
52,10/29/2022 5:38,10/29/2022 5:55,anonymous,,Batticaloa,24,Male,Less than 2 years,Work from Home,,Cybersecurity,Yes,Yes,Yes,No,,Working from home and Agile gave us to be productive.,No,,No,,Got some inflation allowance to satisfy our crisis.,Yes,Communication Skills;Teamwork Skills;Critical Thinking Skills;Work Ethic;Time Management Skills;,No,Yes,Yes,5,Yes,Dialog,4,No,No,No,No,,No,Can be easily familiar with new frameworks.,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,Good,Neutral,Very Good,Very Good,Very Good,Good,Good,Good,Good,Yes,No,No,No,Good,Yes,Good,Good,Good,Good,Good,Good,51-100 lines,3 points,Sometimes,Often
53,10/29/2022 8:33,10/29/2022 8:43,anonymous,,Jaffna,24,Male,Internship,Work from Office,Colombo,Data Engineer,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,"Communication, problem solving, single problem ",,No,,Yes,Power cut,,Yes,Communication Skills;Leadership Skills;,Yes,Yes,Yes,4,Yes,Dialog,3,Yes,Yes,Yes,Yes,"Family bonding, friends, ",Yes,,,Neutral,Neutral,Neutral,Neutral,Bad,Neutral,Bad,Neutral,Good,Very Bad,,,,,Bad,,Very Bad,Bad,Very Good,Very Bad,Very Bad,Very Bad,0-25 lines,1 point,Often,Always
54,10/29/2022 19:33,10/29/2022 19:43,anonymous,,Gampaha,25,Male,Less than 2 years,Work from Home,,part-time Designer,Yes,Yes,Yes,No,,It saves all traveling time ,No,,No,,I work for foreign clients,No,,Yes,Yes,Yes,1,No,Dialog,4,Yes,Yes,No,No,,Yes,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Neutral,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,No,Yes,No,No,Neutral,Yes,Neutral,Neutral,Very Good,Neutral,Neutral,Neutral,51-100 lines,3 points,Often,Rarely
55,11/1/2022 5:45,11/1/2022 5:56,anonymous,,Jaffna,26,Male,Internship,Work from Office,Jaffna,Software Engineer,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Online learning ,No,,No,,Difficult ,Yes,Communication Skills;Teamwork Skills;Leadership Skills;Critical Thinking Skills;Work Ethic;Problem-Solving Skills;Creativity Skills;,No,Yes,No,4,Yes,Company WIFI,3,No,No,No,No,,Yes,,,Neutral,Good,Good,Good,Good,Good,Good,Very Good,Good,Good,,,,,Good,,Very Good,Good,Good,Bad,Neutral,Bad,0-25 lines,1 point,Often,Always
56,11/2/2022 12:04,11/2/2022 12:07,anonymous,,Gampaha,23,Male,Less than 2 years,Hybrid,Colombo,Software Engineer,Yes,Yes,Yes,No,,worked daily during the working hours rather than making it flexible,No,,No,, ,No,,No,No,Yes,5,Yes,SLTMobitel,5,Yes,Yes,Yes,No,,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Good,Good,Good,Good,Neutral,Very Good,Very Good,Very Good,Very Good,Yes,Yes,Yes,Yes,Good,Yes,Very Good,Very Good,Very Good,Neutral,Good,Neutral,51-100 lines,3 points,Rarely,Rarely
57,11/2/2022 12:15,11/2/2022 12:18,anonymous,,Gampaha,28,Male,4 to 6 years,Work from Home,,Software Engineer,No,Yes,Yes,No,, ,No,,Yes, ,,No,,Yes,Yes,Yes,4,Yes,SLTMobitel,5,Yes,Yes,Yes,No,,No, ,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Very Good,Very Good,Good,Neutral,Neutral,Neutral,Neutral,Very Good,Very Good,Very Good,Yes,Yes,Yes,Yes,Neutral,Yes,Bad,Very Bad,Good,Very Bad,Bad,Bad,26-50 lines,1 point,Often,Always
58,11/2/2022 12:05,11/2/2022 12:25,anonymous,,Colombo,29,Male,More than 6 years,Work from Home,,Software Engineer,No,Yes,Yes,No,,"Being always ready for a disaster level situations. For example having backup computer, Good internet connections (Fibre), backup internet connections (Dongles / Portable routers), Backup batteries etc.",Yes,Common flu kind of issues which affects body strength.,Yes,Very slow responses from internet providers when in a breakdown. Inability to import proper devices and other necessary components from international markets.,,No,,No,Yes,Yes,5,Yes,SLTMobitel,4,Yes,No,No,No,,No,Learn the required new technology. Simple as that.,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Neutral,Neutral,Neutral,Good,No,No,No,No,Neutral,Yes,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,101-200 lines,above 5 points,Often,Often
59,11/2/2022 12:12,11/2/2022 12:27,anonymous,,Colombo,26,Female,Less than 2 years,Work from Home,,Software Developer,Yes,Yes,Yes,No,,COVID 19 did not affect my productivity so it was the same as before. I used management softwares etc to keep my deadlines achievable. ,Yes,"As a female, menstruation related problems affect me. Also sometimes gastritis. ",No,,Question doesn’t feel relatable. I don’t think economic crisis affects my productivity bcos I work from home. So just the same as before. ,No,,No,Yes,No,5,No,SLTMobitel,5,No,No,No,Yes,Meetings other family members have makes me distracted due to sounds. ,Yes,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Good,Very Good,Very Good,Very Good,Very Good,Good,Very Good,Very Good,Very Good,No,No,No,No,Good,No,Good,Neutral,Good,Neutral,Good,Neutral,51-100 lines,2 points,Often,Rarely
60,11/3/2022 16:22,11/3/2022 16:29,anonymous,,Colombo,22,Male,Less than 2 years,Hybrid,Colombo,Digital Strategy,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,quarrantines,No,,Yes,price hikes,,Yes,Communication Skills;Interpersonal Skills;Teamwork Skills;Critical Thinking Skills;Problem-Solving Skills;Adaptability Skills;Work Ethic;Creativity Skills;Time Management Skills;,Yes,Yes,No,4,Yes,Airtel,1,Yes,Yes,Yes,No,,Yes,,,Neutral,Good,Good,Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,,,,,Good,,Very Good,Very Good,Very Good,Neutral,Very Good,Good,101-200 lines,3 points,Rarely,Sometimes
61,11/4/2022 11:28,11/4/2022 11:34,anonymous,,Colombo,28,Male,2 to 4 years,Hybrid,Colombo,Software Engineer,Yes,Yes,Yes,Yes,"Inability to approach project resources, Communication issues over virtual meetings",,No,,Yes,"client's lost trust about availability of SL resources over power cuts, traveling issues",,Yes,Communication Skills;Leadership Skills;Time Management Skills;,Yes,Yes,Yes,4,Yes,SLTMobitel,3,Yes,Yes,Yes,No,,Yes,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,Good,Neutral,Good,Very Good,Very Good,Very Good,Very Good,Very Good,Neutral,No,Yes,Yes,Yes,Good,Yes,Good,Very Good,Very Good,Very Good,Very Good,Good,51-100 lines,2 points,Rarely,Rarely
62,11/4/2022 13:44,11/4/2022 13:52,anonymous,,Jaffna,25,Female,Internship,Work from Home,,Software Engineer,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,stress about the situation ,,No,,Yes,work interrupted due to power cuts ,,Yes,Adaptability Skills;,No,Yes,No,4,Yes,SLTMobitel,2,Yes,Yes,Yes,No,,Yes,,,Neutral,Good,Bad,Neutral,Good,Good,Good,Neutral,Good,Bad,,,,,Good,,Good,Neutral,Neutral,Neutral,Good,Neutral,51-100 lines,3 points,Rarely,Sometimes
63,11/4/2022 13:46,11/4/2022 13:59,anonymous,,Trincomalee,30,Female,More than 6 years,Work from Home,,Software Engineer,Yes,Yes,Yes,Yes,"Feel Pressure in quarantine, No outings,relaxing",,No,,Yes,things are significantly higher price,,Yes,Communication Skills;Leadership Skills;Teamwork Skills;Adaptability Skills;,Yes,Yes,Yes,4,Yes,Dialog,3,Yes,Yes,Yes,No,,No,we are using traditional technologies,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Good,Good,Bad,Yes,Yes,Yes,Yes,Good,Yes,Good,Good,Good,Bad,Bad,Bad,26-50 lines,1 point,Often,Often
64,11/4/2022 19:04,11/4/2022 19:10,anonymous,,Galle,29,Female,4 to 6 years,Work from Office,Colombo,Project Manager,Yes,Yes,Yes,Yes,suffered by covid-19,,No,,Yes,higher costly equipment,,Yes,Communication Skills;Leadership Skills;Creativity Skills;,Yes,Yes,Yes,4,Yes,Company WIFI,5,Yes,Yes,Yes,Yes,window side Chair,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,Neutral,Good,Good,Good,Good,Good,Neutral,Bad,Good,Yes,Yes,Yes,Yes,Good,Yes,Good,Good,Bad,Neutral,Bad,Bad,26-50 lines,1 point,Often,Always
65,11/13/2022 10:58,11/13/2022 11:05,anonymous,,Kurunegala,26,Male,Internship,Work from Home,,Software Engineer,Yes,Yes,Yes,No,,By creating a time table,Yes,nothing,Yes,"power cuts , transport issues",,Yes,Communication Skills;Teamwork Skills;Critical Thinking Skills;,Yes,Yes,Yes,4,Yes,SLTMobitel,2,Yes,Yes,Yes,Yes,mobile phone,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,No,No,No,Yes,Good,No,Good,Good,Good,Good,Good,Good,51-100 lines,3 points,Rarely,Sometimes
66,11/13/2022 12:41,11/13/2022 12:46,anonymous,,Hambantota,28,Male,Less than 2 years,Work from Office,Colombo,Software Engineer,Yes,No,Yes,Yes,-,,Yes,-,No,,-,No,Leadership Skills;Communication Skills;Interpersonal Skills;Teamwork Skills;Critical Thinking Skills;Work Ethic;Time Management Skills;Creativity Skills;Problem-Solving Skills;Adaptability Skills;,Yes,Yes,Yes,5,Yes,SLTMobitel,5,No,Yes,Yes,No,,No,-,Yes,Yes,-,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Yes,Yes,Yes,Yes,Neutral,Yes,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,51-100 lines,2 points,Sometimes,Often
67,11/13/2022 15:48,11/13/2022 15:58,anonymous,,Kalutara,24,Male,Internship,Work from Home,,Software Developer,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Arranged daily meetings online. And kept good communication with team members via social media groups,Yes,Not physical. Mentally loneliness ,Yes,Data and communication charges.,,Yes,Critical Thinking Skills;Time Management Skills;Communication Skills;,No,Yes,No,4,Yes,SLTMobitel,4,No,Yes,Yes,No,,Yes,,,Good,Good,Good,Good,Good,Good,Good,Very Good,Very Good,Good,,,,,Good,,Very Good,Good,Neutral,Neutral,Very Good,Neutral,51-100 lines,3 points,Sometimes,Rarely
